 destination distance_m duration_s origin v_ave_kmph
170 B27 11464.0 1068.0 B38 38.642696629213475
171 NR8 169767.0 7643.0 NN15 79.96352217715558
172 CB22 90534.0 4712.0 HP4 69.16859083191851
173 WR15 572480.0 21989.0 PA18 93.72540815862476
174 BS2 159799.0 6631.0 GU21 86.75560247323179
175 DL13 369090.0 23562.0 BT13 56.39266615737205
176 SO22 886253.0 39244.0 PA67 81.29932728569973
177 KT12 423495.0 16411.0 DL5 92.90000609347388
178 WF11 176597.0 7423.0 NN16 85.6458574700256
179 BH22 953540.0 47008.0 PA78 73.02467665078284
180 B8 36283.0 1975.0 WV9 66.13610126582279
181 SR1 422546.0 16559.0 HA3 91.86337339211306
182 PL12 415816.0 17668.0 MK44 84.72592257188136
183 BA6 332390.0 13147.0 SK8 91.01726629649349
184 BS20 36422.0 2070.0 BS30 63.34260869565218
185 KT17 230577.0 10016.0 NR19 82.87511980830672
186 B48 183061.0 6736.0 NW7 97.83545130641329
187 B72 222656.0 8486.0 SM2 94.45694084374264
188 TW13 327808.0 12643.0 LS27 93.34088428379341
189 CW6 225698.0 12462.0 SA9 65.19922965816082
190 KY16 855505.0 31830.0 TQ9 96.75834118755891
191 NE21 292314.0 10888.0 CW11 96.65047759000734
192 BR7 892459.0 34140.0 PH23 94.10815465729351
193 PE15 175041.0 7686.0 WV12 81.98641686182671
194 NR3 353043.0 14588.0 SO41 87.12330682752949
195 BT15 524031.0 28205.0 DN10 66.8857152987059
196 EH1 645848.0 28616.0 SA70 81.25009784735812
197 BT3 848786.0 36549.0 TQ1 83.60364442255602
198 CH62 182462.0 7458.0 CV13 88.07497988736927
199 WV6 157345.0 7606.0 NP16 74.47304759400474
200 M23 166879.0 6877.0 LL73 87.35849934564492
201 SW16 170989.0 8500.0 PE37 72.4188705882353
202 EH32 396911.0 15094.0 CW11 94.66540347157812
203 EH16 753556.0 27720.0 BN15 97.86441558441557
204 WD24 152080.0 6029.0 LE11 90.8090894012274
205 PH24 881045.0 32953.0 SW1P 96.25108487846329
206 KA16 726710.0 27412.0 EX18 95.43834816868522
207 NP22 372260.0 14717.0 LA5 91.0604063328124
208 CB11 110802.0 5769.0 PE35 69.14321372854916
209 SN12 203264.0 9085.0 BR2 80.54489818381948
210 EN3 290491.0 11520.0 CW6 90.7784375
211 LL13 367442.0 15546.0 CO11 85.08884600540333
212 L9 160099.0 21258.0 IM9 27.112447078746825
213 HU18 545125.0 21096.0 TQ9 93.02474402730377
214 DE12 218609.0 8284.0 WC1V 95.0014968614196
215 BS40 214114.0 9741.0 EC3N 79.1305204804435
216 EC4N 900490.0 34987.0 PH26 92.6562437476777
217 LE2 213134.0 9039.0 SE28 84.88576169930303
218 TN11 333358.0 13286.0 DN39 90.32732199307543
219 B76 147781.0 6268.0 CB3 84.87740906190173
220 AB53 873974.0 34514.0 CM22 91.1602943732978
221 DG16 160929.0 7038.0 EH32 82.3166240409207
222 SG8 382757.0 14978.0 NE30 91.99660835892642
223 LS12 211457.0 9020.0 DY7 84.39525498891352
